,Facility.Name,Facility.City,Facility.State,Facility.Type,Rating.Overall,Rating.Mortality,Rating.Safety,Rating.Readmission,Rating.Experience,Rating.Effectiveness,Rating.Timeliness,Rating.Imaging
0,Southeast Alabama Medical Center,Dothan,AL,Government,2,Below,Above,Below,Below,Same,Above,Same
1,Marshall Medical Center South,Boaz,AL,Government,1,Below,Below,Below,Same,Above,Above,Below
2,Eliza Coffee Memorial Hospital,Florence,AL,Government,3,Below,Above,Above,Below,Same,Above,Below
3,Mizell Memorial Hospital,Opp,AL,Private,1,Same,Same,Below,Below,Below,Above,
4,Crenshaw Community Hospital,Luverne,AL,Proprietary,4,Same,,Above,,Same,Above,
5,St Vincent's East,Birmingham,AL,Private,2,Same,Below,Below,Below,Below,Below,Same
6,Dekalb Regional Medical Center,Fort Payne,AL,Proprietary,2,Below,Above,Below,Below,Same,Above,Same
7,Shelby Baptist Medical Center,Alabaster,AL,Private,2,Same,Below,Above,Below,Same,Same,Below
8,Callahan Eye Hospital,Birmingham,AL,Private,-1,,,,,Same,Same,
9,Helen Keller Memorial Hospital,Sheffield,AL,Government,3,Same,Above,Below,Same,Same,Above,Below
10,Dale Medical Center,Ozark,AL,Government,3,Same,,Same,Above,Same,Above,Same
11,Floyd Cherokee Medical Center,Centre,AL,Private,4,Same,,Above,Above,Same,Same,
12,Baptist Medical Center South,Montgomery,AL,Government,2,Below,Above,Below,Below,Same,Below,Same
13,Jackson Hospital & Clinic Inc,Montgomery,AL,Private,2,Below,Below,Above,Same,Same,Below,Below
14,East Alabama Medical Center,Opelika,AL,Government,4,Below,Above,Above,Above,Same,Above,Same
15,Tanner Medical Center-east Alabama,Wedowee,AL,Government,3,Same,,Same,,Same,Above,
16,University Of Alabama Hospital,Birmingham,AL,Government,2,Above,Below,Below,Above,Same,Below,Below
17,Community Hospital Inc,Tallassee,AL,Private,3,Same,,Above,Below,Same,Same,Same
18,Cullman Regional Medical Center,Cullman,AL,Government,2,Below,Below,Below,Below,Same,Above,Same
19,Andalusia Health,Andalusia,AL,Proprietary,4,Same,Above,Above,Below,Same,Above,Same
20,Stringfellow Memorial Hospital,Anniston,AL,Proprietary,3,Same,Above,Below,Below,Same,Same,Same
21,Huntsville Hospital,Huntsville,AL,Government,2,Below,Above,Below,Above,Same,Below,Below
22,Gadsden Regional Medical Center,Gadsden,AL,Proprietary,2,Same,Below,Below,Below,Below,Same,Below
23,Marion Regional Medical Center,Hamilton,AL,Private,5,Same,,Above,Same,Same,Above,Same
24,Fayette Medical Center,Fayette,AL,Unknown,5,Same,,Above,Above,Same,Same,Same
25,Riverview Regional Medical Center,Gadsden,AL,Proprietary,4,Above,Above,Below,Below,Same,Above,Same
26,Georgiana Medical Center,Georgiana,AL,Proprietary,3,Same,,Same,,Same,Above,
27,Medical Center Enterprise,Enterprise,AL,Proprietary,3,Same,Above,Above,Same,Same,Same,Same
28,Greene County Hospital,Eutaw,AL,Government,3,,,Same,,Same,Same,
29,Lake Martin Community Hospital,Dadeville,AL,Proprietary,4,,,Above,Same,Same,Above,
30,Flowers Hospital,Dothan,AL,Proprietary,3,Below,Above,Below,Same,Same,Above,Above
31,St Vincent's Birmingham,Birmingham,AL,Private,4,Same,Below,Above,Above,Below,Below,Same
32,Bibb Medical Center,Centreville,AL,Government,-1,,,,,Below,Above,
33,Lawrence Medical Center,Moulton,AL,Government,4,Same,,Above,,Same,Above,Same
34,Highlands Medical Center,Scottsboro,AL,Government,1,Same,Below,Below,Below,Same,Same,Same
35,Wiregrass Medical Center,Geneva,AL,Private,3,Same,,Above,Same,Same,Above,
36,Russell Medical Center,Alexander City,AL,Private,3,Same,Same,Above,Above,Same,Above,Same
37,Medical Center Barbour,Eufaula,AL,Government,3,Same,,Same,Same,Same,Above,Same
38,Clay County Hospital,Ashland,AL,Government,4,Same,,Same,Above,Same,Same,
39,Northeast Alabama Regional Medical Center,Anniston,AL,Government,2,Same,Above,Below,Same,Same,Below,Same
40,Athens Limestone Hospital,Athens,AL,Government,4,Same,Above,Above,Same,Same,Above,Below
41,South Baldwin Regional Medical Center,Foley,AL,Proprietary,3,Same,Same,Below,Above,Same,Same,Below
42,Decatur Morgan Hospital-decatur Campus,Decatur,AL,Government,3,Same,Above,Above,Same,Below,Below,Below
43,Northwest Medical Center,Winfield,AL,Proprietary,4,Same,,Above,Above,Same,Above,Same
44,University Of South Alabama Medical Center,Mobile,AL,Government,3,Same,Above,Below,Same,Same,Below,Below
45,Walker Baptist Medical Center,Jasper,AL,Private,2,Same,Same,Same,Below,Same,Above,Same
46,Providence Hospital,Mobile,AL,Church,2,Below,Below,Same,Same,Above,Same,Below
47,Grove Hill Memorial Hospital,Grove Hill,AL,Government,2,Same,,Same,Same,Below,Same,Below
48,D C H Regional Medical Center,Tuscaloosa,AL,Government,2,Below,Above,Below,Below,Below,Below,Above
49,Hale County Hospital,Greensboro,AL,Government,3,Same,,Above,,Below,Same,
50,Elmore Community Hospital,Wetumpka,AL,Government,4,Same,,Above,Same,Same,Above,
51,D W Mcmillan Memorial Hospital,Brewton,AL,Government,3,Same,,Same,Same,Same,Above,Same
52,Thomas Hospital,Fairhope,AL,Private,3,Same,Same,Above,Above,Same,Same,Below
53,Citizens Baptist Medical Center,Talladega,AL,Private,3,Same,,Same,Same,Same,Above,Same
54,J Paul Jones Hospital,Camden,AL,Unknown,-1,,,,,Same,Above,
55,Princeton Baptist Medical Center,Birmingham,AL,Church,2,Same,Below,Above,Below,Same,Below,Below
56,Grandview Medical Center,Birmingham,AL,Proprietary,2,Same,Above,Below,Above,Above,Same,Same
57,Prattville Baptist Hospital,Prattville,AL,Government,3,Above,Same,Below,Same,Same,Below,Same
58,Pickens County Medical Center,Carrollton,AL,Government,3,Same,,Same,,Same,Same,Same
59,Bullock County Hospital,Union Springs,AL,Proprietary,-1,,,,,Same,Above,Same
60,Bryan W. Whitfield Memorial Hospital,Demopolis,AL,Government,3,Same,,Same,,Below,Same,Same
61,Mobile Infirmary Medical Center,Mobile,AL,Private,1,Same,Below,Below,Above,Same,Below,Below
62,"Medical West, An Affiliate Of Uab Health System",Bessemer,AL,Government,3,Same,Same,Above,Below,Same,Same,Same
63,Vaughan Regional Medical Center Parkway Campus,Selma,AL,Proprietary,2,Same,Above,Same,Below,Same,Same,Above
64,Monroe County Hospital,Monroeville,AL,Government,4,Same,,Above,Above,Same,Same,Same
65,Lakeland Community Hospital,Haleyville,AL,Church,5,Above,,Above,Same,Same,Above,
66,Troy Regional Medical Center,Troy,AL,Government,2,Same,Same,Same,Same,Same,Same,Same
67,Jackson Medical Center,Jackson,AL,Proprietary,3,Same,,Same,Same,Same,Above,
68,North Baldwin Infirmary,Bay Minette,AL,Private,2,Same,,Below,Same,Same,Below,Below
69,St Vincent's St Clair,Pell City,AL,Private,5,Same,,Above,Above,Same,Same,Below
70,Crestwood Medical Center,Huntsville,AL,Proprietary,2,Same,Below,Below,Below,Same,Below,Same
71,Hill Hospital Of Sumter County,York,AL,Unknown,-1,,,,,,Same,
72,Brookwood Baptist Medical Center,Birmingham,AL,Proprietary,3,Same,Above,Below,Below,Same,Same,Same
73,Springhill Memorial Hospital,Mobile,AL,Proprietary,1,Same,Below,Below,Same,Same,Below,Below
74,Rmc Jacksonville,Jacksonville,AL,Proprietary,3,,,Same,,Same,Same,
75,Evergreen Medical Center,Evergreen,AL,Proprietary,3,Same,,Same,Same,Same,Same,Same
76,Baptist Medical Center East,Montgomery,AL,Government,4,Same,Above,Same,Above,Same,Below,Same
77,L V Stabler Memorial Hospital,Greenville,AL,Proprietary,2,Same,Below,Below,Same,Same,Same,Same
78,Shoals Hospital,Muscle Shoals,AL,Government,3,Same,Same,Same,Same,Below,Above,Below
79,Russellville Hospital,Russellville,AL,Proprietary,3,Same,Above,Below,Same,Same,Above,Same
80,Coosa Valley Medical Center,Sylacauga,AL,Unknown,2,Same,Same,Above,Below,Same,Same,Above
81,Jack Hughston Memorial Hospital,Phenix City,AL,Government,5,,Above,Above,Above,Below,Same,
82,Atmore Community Hospital,Atmore,AL,Government,3,Same,,Same,Same,Same,Above,Below
83,St Vincent's Chilton,Clanton,AL,Church,-1,,,,Above,Below,Same,
84,Washington County Hospital,Chatom,AL,Government,-1,,,,,Same,Same,
85,Red Bay Hospital,Red Bay,AL,Government,-1,,,,,Same,Above,
86,Choctaw General Hospital,Butler,AL,Private,-1,,,,,Same,Same,
87,St Vincents Blount,Oneonta,AL,Private,4,Same,,Above,Same,Below,Same,
88,Children's Hospital Of Alabama,Birmingham,AL,Private,-1,,,,,,,
89,University Of S A Children's And Women's Hos,Mobile,AL,Government,-1,,,,,,,
90,Providence Alaska Medical Center,Anchorage,AK,Church,4,Same,Above,Above,Same,Below,Below,Above
91,Mat-su Regional Medical Center,Palmer,AK,Unknown,3,Same,Same,Above,Same,Same,Same,Same
92,Bartlett Regional Hospital,Juneau,AK,Government,4,Same,Same,Above,Above,Same,Same,Same
93,Fairbanks Memorial Hospital,Fairbanks,AK,Private,5,Same,Above,Above,Same,Same,Same,Same
94,Alaska Regional Hospital,Anchorage,AK,Proprietary,5,Same,Above,Above,Same,Same,Above,
95,Yukon Kuskokwim Delta Reg Hospital,Bethel,AK,Unknown,3,Same,,Same,Below,Same,,
96,Central Peninsula General Hospital,Soldotna,AK,Unknown,3,Same,Below,Above,Same,Same,Below,Same
97,Alaska Native Medical Center,Anchorage,AK,Government,2,Same,Below,Above,Below,Same,Below,
98,Providence Valdez Medical Center,Valdez,AK,Government,-1,,,,,,,
99,Providence Seward Hospital,Seward,AK,Government,-1,,,,,,,
100,Sitka Community Hospital,Sitka,AK,Government,-1,,,,,Same,,
101,Petersburg Medical Center,Petersburg,AK,Government,-1,,,,,,,
102,Wrangell Medical Center,Wrangell,AK,Government,-1,,,,,,,
103,Providence Kodiak Island Medical Ctr,Kodiak,AK,Church,-1,,,Same,,,,
104,Cordova Community Medical Center,Cordova,AK,Government,-1,,,,,,,
105,Norton Sound Regional Hospital,Nome,AK,Government,-1,,,,,,,
106,Kanakanak Hospital,Dillingham,AK,Private,-1,,,,,,,
107,Maniilaq Health Center,Kotzebue,AK,Government,-1,,,,,,,
108,Ketchikan Medical Center,Ketchikan,AK,Church,4,Same,,Above,Same,Same,Same,Same
109,Samuel Simmonds Memorial Hospital,Barrow,AK,Government,-1,,,,,,,
110,South Peninsula Hospital,Homer,AK,Private,4,,,Same,Above,Same,Same,Same
111,Mt Edgecumbe Hospital,Sitka,AK,Private,-1,,,,,Same,,
112,Banner - University Medical Center Phoenix,Phoenix,AZ,Unknown,2,Same,Below,Above,Below,Same,Below,Below
113,Tucson Medical Center,Tucson,AZ,Private,3,Same,Above,Above,Below,Same,Below,Above
114,Verde Valley Medical Center,Cottonwood,AZ,Private,5,Same,Above,Above,Below,Same,Same,Same
115,St. Mary's Hospital,Tucson,AZ,Private,2,Below,Below,Above,Below,Same,Below,Same
116,St Joseph's Hospital,Tucson,AZ,Unknown,2,Below,Below,Above,Below,Same,Below,Above
117,Yavapai Regional Medical Center,Prescott,AZ,Private,3,Below,Above,Above,Same,Same,Same,Below
118,Yuma Regional Medical Center,Yuma,AZ,Private,3,Same,Above,Above,Below,Same,Below,Below
119,John C. Lincoln North Mountain Hospital,Phoenix,AZ,Private,2,Same,Below,Above,Below,Same,Same,Same
120,Banner Casa Grande Medical Center,Casa Grande,AZ,Unknown,3,Same,Same,Above,Below,Same,Same,Same
121,Maricopa Medical Center,Phoenix,AZ,Government,3,,Same,Above,Below,Same,Same,Same
122,Flagstaff Medical Center,Flagstaff,AZ,Private,5,Same,Same,Above,Same,Same,Below,Above
123,St. Joseph's Hospital And Medical Center,Phoenix,AZ,Church,2,Same,Below,Above,Same,Same,Below,Same
124,Abrazo Central Campus,Phoenix,AZ,Proprietary,3,Same,Above,Above,Below,Same,Below,Same
125,Chandler Regional Medical Center,Chandler,AZ,Unknown,3,Same,Below,Above,Same,Same,Same,Above
126,St Luke's Medical Center,Phoenix,AZ,Proprietary,2,Same,Below,Above,Below,Same,Below,
127,Scottsdale Osborn Medical Center,Scottsdale,AZ,Proprietary,4,Same,Above,Above,Below,Same,Above,Above
128,Canyon Vista Medical Center,Sierra Vista,AZ,Unknown,1,Below,Below,Below,Below,Same,Below,Below
129,Kingman Regional Medical Center,Kingman,AZ,Government,2,Same,Below,Above,Same,Same,Same,Below
130,Banner Boswell Medical Center,Sun City,AZ,Unknown,4,Same,Same,Above,Below,Same,Same,Above
131,Summit Healthcare Regional Medical Center,Show Low,AZ,Private,4,Same,Above,Above,Same,Same,Same,Same
132,Banner - University Medical Center Tucson Campus,Tucson,AZ,Private,2,Same,Below,Below,Below,Same,Below,Above
133,Banner Desert Medical Center,Mesa,AZ,Private,2,Same,Below,Below,Below,Same,Below,Above
134,Mt. Graham Regional Medical Center,Safford,AZ,Government,4,,Same,Above,Above,Same,Above,Same
135,Havasu Regional Medical Center,Lake Havasu City,AZ,Proprietary,3,Same,Above,Above,Below,Same,Same,Below
136,Fort Defiance Indian Hospital,Fort Defiance,AZ,Government,2,Same,,Below,Same,Below,,
137,Tuba City Regional Health Care Corporation,Tuba City,AZ,Unknown,3,,Above,Below,Below,Below,,
138,Sells Hospital,Sells,AZ,Unknown,-1,,,,,,,
139,San Carlos Apache Healthcare,Peridot,AZ,Government,-1,,,,,,,
140,Phoenix Indian Medical Center,Phoenix,AZ,Government,-1,,,,Same,Same,,
141,Abrazo Scottsdale Campus,Phoenix,AZ,Proprietary,3,Same,Same,Above,Below,Same,Below,
142,Chinle Comprehensive Health Care Facility,Chinle,AZ,Government,2,,,Below,Below,Below,,
143,Northwest Medical Center,Tucson,AZ,Proprietary,2,Below,Above,Above,Below,Same,Same,Same
144,Scottsdale Shea Medical Center,Scottsdale,AZ,Proprietary,4,Above,Above,Below,Below,Same,Above,Above
145,Banner Baywood Medical Center,Mesa,AZ,Private,4,Same,Below,Above,Below,Same,Same,Above
146,Banner Thunderbird Medical Center,Glendale,AZ,Government,2,Same,Below,Above,Below,Same,Below,Above
147,Honorhealth Deer Valley Medical Center,Phoenix,AZ,Private,3,Same,Below,Above,Below,Same,Same,Same
148,Banner Del E. Webb Medical Center,Sun City West,AZ,Private,4,Same,Same,Above,Below,Same,Same,Above
149,Abrazo Arrowhead Campus,Glendale,AZ,Proprietary,3,Same,Above,Below,Below,Same,Same,Same
150,Western Arizona Regional Medical Center,Bullhead City,AZ,Proprietary,1,Same,Below,Above,Below,Same,Below,Below
151,Mayo Clinic Hospital,Phoenix,AZ,Private,5,Above,Above,Above,Above,Same,Same,Above
152,Banner Heart Hospital,Mesa,AZ,Private,4,Above,Below,Above,Above,,,
153,Arizona Spine And Joint Hospital,Mesa,AZ,Proprietary,-1,,,,Above,,,
154,"Core Institute Specialty Hospital, The",Phoenix,AZ,Proprietary,-1,,,,Above,,,
155,Abrazo West Campus,Goodyear,AZ,Proprietary,3,Same,Above,Above,Below,Same,Below,Above
156,Banner-university Medical Center South Campus,Tucson,AZ,Private,2,Same,Same,Same,Below,Same,Below,Same
157,Arizona Specialty Hospital,Chandler,AZ,Proprietary,-1,,,,Above,,,
158,Whiteriver Phs Indian Hospital,Whiteriver,AZ,Government,-1,,,,,Same,,
159,Oro Valley Hospital,Oro Valley,AZ,Proprietary,4,Same,Above,Below,Same,Same,Below,Same
160,Banner Estrella Medical Center,Phoenix,AZ,Private,4,Same,Above,Above,Same,Same,Below,Above
161,Valley View Medical Center,Fort Mohave,AZ,Proprietary,3,Same,Above,Same,Same,Same,Same,Below
162,Mercy Gilbert Medical Center,Gilbert,AZ,Church,3,Same,Below,Below,Same,Same,Same,Above
163,"Mountain Vista Medical Center, Lp",Mesa,AZ,Proprietary,2,Same,Below,Same,Below,Same,Below,Same
164,Banner Gateway Medical Center,Gilbert,AZ,Unknown,3,Same,Same,Above,Same,Same,Below,Above
165,Scottsdale Thompson Peak Medical Center,Scottsdale,AZ,Proprietary,5,Same,Above,Above,Above,Same,Above,Above
166,Banner Ironwood Medical Center,Queen Creek,AZ,Private,4,Same,Same,Above,Above,Same,Same,Same
167,O.a.s.i.s. Hospital,Phoenix,AZ,Private,-1,,,,Above,,,
168,Banner Goldfield Medical Center,Apache Junction,AZ,Unknown,4,Same,,Above,Same,Same,Same,Same
169,Dignity Health - Arizona General Hospital,Laveen,AZ,Proprietary,-1,,,,,Same,Same,
170,Santa Cruz Valley Regional Hospital,Green Valley,AZ,Proprietary,3,Same,,Above,Below,Below,Same,
171,Western Regional Medical Center,Goodyear,AZ,Proprietary,-1,,,,,,,
172,Wickenburg Community Hospital,Wickenburg,AZ,Private,-1,,,Same,Above,,,
173,Benson Hospital,Benson,AZ,Private,4,,,Above,,Same,Same,
174,"Northern Cochise Community Hospital, Inc.",Willcox,AZ,Government,-1,,,Same,,,,
175,Page Hospital,Page,AZ,Government,-1,,,,Same,Same,,
176,Hopi Health Care Center,Polacca,AZ,Government,-1,,,,,,,
177,Parker Indian Health Center,Parker,AZ,Government,-1,,,,,,,
178,Huhu Kam Memorial Hospital,Sacaton,AZ,Government,-1,,,,,,,
179,Sage Memorial Hospital,Ganado,AZ,Private,-1,,,,,,Same,
180,Little Colorado Medical Center,Winslow,AZ,Private,-1,,,Same,Same,,,
181,Copper Queen Community Hospital,Bisbee,AZ,Private,3,,,Same,,Same,Same,
182,Holy Cross Hospital,Nogales,AZ,Proprietary,-1,,,,Same,Same,Above,
183,Cobre Valley Regional Medical Center,Globe,AZ,Private,3,Same,,Same,Same,Same,Same,Same
184,White Mountain Regional Medical Center,Springerville,AZ,Private,4,,,Same,,Same,Same,Same
185,La Paz Regional Hospital,Parker,AZ,Private,2,Same,,Below,Below,,,
186,Banner Payson Medical Center,Payson,AZ,Unknown,-1,,,,,,,
187,Phoenix Children's Hospital,Phoenix,AZ,Private,-1,,,,,,,
188,"Hacienda Children's Hospital, Inc.",Mesa,AZ,Proprietary,-1,,,,,,,
189,Siloam Springs Regional Hospital,Siloam Springs,AR,Unknown,3,Same,Same,Same,Same,Same,Above,Same
190,Johnson Regional Medical Center,Clarksville,AR,Government,2,Same,Below,Same,Same,Same,Above,Same
191,Washington Regional Medical Center,Fayetteville,AR,Private,2,Below,Below,Above,Same,Same,Same,Below
192,Chi-st Vincent Infirmary,Little Rock,AR,Private,1,Below,Below,Below,Below,Same,Below,Same
193,Mercy Hospital Northwest Arkansas,Rogers,AR,Church,4,Same,Above,Above,Same,Same,Same,Below
194,Chambers Memorial Hospital,Danville,AR,Private,3,Same,,Below,Above,Below,Above,
195,White County Medical Center,Searcy,AR,Private,4,Below,Above,Above,Same,Same,Same,Same
196,Mena Regional Health System,Mena,AR,Government,2,Below,,Same,,Same,Above,Same
197,Uams Medical Center,Little Rock,AR,Government,1,Same,Below,Below,Same,Same,Below,Above
198,North Arkansas Regional Medical Center,Harrison,AR,Unknown,3,Same,Same,Above,Same,Same,Same,Same
199,Sparks Medical Center - Van Buren,Van Buren,AR,Proprietary,3,,,Same,Same,Same,Above,
200,Forrest City Medical Center,Forrest City,AR,Proprietary,2,Same,,Below,Same,Same,Above,Same
201,St Bernards Medical Center,Jonesboro,AR,Private,2,Below,Above,Below,Above,Same,Same,Same
202,Northwest Medical Center-springdale,Springdale,AR,Proprietary,3,Below,Above,Above,Below,Above,Same,Same
203,Chi St. Vincent Hospital Hot Springs,Hot Springs,AR,Church,3,Same,Above,Below,Below,Same,Above,Below
204,Baxter Regional Medical Center,Mountain Home,AR,Private,3,Below,Above,Below,Above,Same,Above,Below
205,Conway Regional Medical Center,Conway,AR,Private,3,Below,Above,Above,Above,Same,Above,Same
206,Baptist Health Medical Center North Little Rock,North Little Rock,AR,Private,2,Below,Above,Below,Same,Below,Same,Above
207,Arkansas Methodist Medical Center,Paragould,AR,Private,2,Same,Above,Below,Same,Same,Above,Same
208,St Marys Regional Medical Center,Russellville,AR,Proprietary,2,Same,Above,Below,Below,Same,Same,Same
209,Five Rivers Medical Center,Pocahontas,AR,Private,3,Same,,Same,Same,Same,Above,Same
210,Ouachita County Medical Center,Camden,AR,Private,3,Same,Above,Same,Same,Same,Above,
211,Drew Memorial Hospital,Monticello,AR,Private,3,Same,,Below,Same,Below,Above,Below
212,Sparks Regional Medical Center,Fort Smith,AR,Proprietary,1,Below,Below,Below,Below,Same,Same,Below
213,Mercy Hospital Fort Smith,Fort Smith,AR,Private,3,Same,Above,Below,Above,Below,Same,Above
214,Magnolia Hospital,Magnolia,AR,Government,2,Below,,Below,Below,Same,Same,Same
215,Great River Medical Center,Blytheville,AR,Unknown,2,Same,,Below,Below,Same,Same,Same
216,Jefferson Regional Medical Center,Pine Bluff,AR,Private,1,Below,Below,Below,Below,Same,Same,Below
217,Baptist Health Medical Center-stuttgart,Stuttgart,AR,Private,3,Same,,Below,Above,Same,Above,
218,North Metro Medical Center,Jacksonville,AR,Proprietary,1,Same,,Below,Below,Same,Above,
219,Baptist Health Medical Center-hot Springs County,Malvern,AR,Private,4,Same,,Below,Above,Same,Above,Same
220,National Park Medical Center,Hot Springs,AR,Proprietary,1,Below,Below,Below,Below,Same,Same,Below
221,Saline Memorial Hospital,Benton,AR,Proprietary,1,Same,Above,Below,Below,Below,Below,Same
222,Helena Regional Medical Center,Helena,AR,Proprietary,2,Same,,Same,Same,Same,Above,
223,Medical Center Of South Arkansas,El Dorado,AR,Proprietary,2,Below,Below,Above,Same,Same,Above,Same
224,Baptist Health Medical Center-little Rock,Little Rock,AR,Private,1,Below,Above,Below,Below,Same,Same,Above
